Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-04-06,7:05 PM EDT,HOU,TEX,-130,+100,5.5,5.5
2024-04-06,7:05 PM EDT,TOR,NYY,-105,-125,4,4
2024-04-06,7:10 PM EDT,CHW,KC,+100,-130,5,5
2024-04-06,7:10 PM EDT,SEA,MIL,-125,-105,4.5,4.5
2024-04-06,7:20 PM EDT,AZ,ATL,+100,-130,5,5
2024-04-06,8:10 PM EDT,TB,COL,-115,-105,6,6
2024-04-06,9:05 PM EDT,SD,SF,+100,-130,4.5,4.5
2024-04-06,9:38 PM EDT,BOS,LAA,+100,-130,4.5,4.5
2024-04-07,1:35 PM EDT,PHI,WAS,-105,-125,3.5,3.5
2024-04-07,1:35 PM EDT,AZ,ATL,-115,-115,4.5,4.5
2024-04-07,1:35 PM EDT,BAL,PIT,-125,-105,3.5,3.5
2024-04-07,1:35 PM EDT,TOR,NYY,+115,-145,4.5,4.5
2024-04-07,1:40 PM EDT,ATH,DET,-105,-125,6.5,6.5
2024-04-07,1:40 PM EDT,NYM,CIN,-115,-115,4.5,4.5
2024-04-07,2:10 PM EDT,CHW,KC,-125,-105,4.5,4.5
2024-04-07,2:10 PM EDT,SEA,MIL,-115,-115,4.5,4.5
2024-04-07,2:15 PM EDT,MIA,STL,-105,-125,5,5
2024-04-07,2:20 PM EDT,LAD,CHC,-115,-115,4.5,4.5
2024-04-07,3:10 PM EDT,TB,COL,-125,-105,6,6
2024-04-07,4:05 PM EDT,SD,SF,-130,+100,4,4
2024-04-07,4:07 PM EDT,BOS,LAA,-115,-115,4.5,4.5
2024-04-07,7:10 PM EDT,HOU,TEX,+135,-169,4.5,4.5
2024-04-08,5:10 PM EDT,CHW,CLE,-110,-120,2.5,2.5
2024-04-08,6:05 PM EDT,MIA,NYY,+105,-135,4.5,4.5
2024-04-08,6:40 PM EDT,DET,PIT,-130,+100,4,4
2024-04-08,6:40 PM EDT,MIL,CIN,-115,-115,5,5
2024-04-08,7:07 PM EDT,SEA,TOR,+100,-130,4.5,4.5
2024-04-08,7:20 PM EDT,NYM,ATL,-105,-125,5.5,5.5
2024-04-08,7:40 PM EDT,LAD,MIN,-125,-105,4.5,4.5
2024-04-08,7:45 PM EDT,PHI,STL,-105,-125,5,5
2024-04-08,8:05 PM EDT,HOU,TEX,-105,-125,5.5,5.5
2024-04-08,8:40 PM EDT,AZ,COL,-105,-125,5.5,5.5
2024-04-08,9:38 PM EDT,TB,LAA,-125,-105,4.5,4.5
2024-04-08,9:40 PM EDT,CHC,SD,+105,-135,4.5,4.5
2024-04-08,9:45 PM EDT,WAS,SF,+100,-130,4.5,4.5
2024-04-09,12:35 PM EDT,DET,PIT,-169,+135,3.5,3.5
2024-04-09,2:10 PM EDT,BAL,BOS,-105,-125,3.5,3.5
2024-04-09,6:10 PM EDT,CHW,CLE,-110,-120,8.5,8.5
2024-04-09,6:40 PM EDT,MIL,CIN,-105,-125,3.5,3.5
2024-04-09,7:05 PM EDT,MIA,NYY,-115,-115,4.5,4.5
2024-04-09,7:07 PM EDT,SEA,TOR,-125,-105,4,4
2024-04-09,7:20 PM EDT,NYM,ATL,+100,-130,5.5,5.5
2024-04-09,7:40 PM EDT,HOU,KC,-125,-105,4,4
2024-04-09,7:40 PM EDT,LAD,MIN,-130,+100,4,4
2024-04-09,7:45 PM EDT,PHI,STL,+100,-130,4,4
2024-04-09,8:05 PM EDT,ATH,TEX,-130,+100,4.5,4.5
2024-04-09,8:40 PM EDT,AZ,COL,-130,+100,5.5,5.5
2024-04-09,9:38 PM EDT,TB,LAA,-115,-115,4.5,4.5
2024-04-09,9:45 PM EDT,WAS,SF,-105,-125,4.5,4.5
2024-04-09,10:05 PM EDT,CHC,SD,+100,-130,4.5,4.5
2024-04-10,1:10 PM EDT,LAD,MIN,-125,-105,5.5,5.5
2024-04-10,1:15 PM EDT,PHI,STL,-110,-120,4.5,4.5
2024-04-10,3:07 PM EDT,SEA,TOR,+100,-130,4.5,4.5
2024-04-10,3:10 PM EDT,AZ,COL,-115,-115,6,6
2024-04-10,3:45 PM EDT,WAS,SF,-105,-125,4.5,4.5
2024-04-10,4:07 PM EDT,TB,LAA,-130,+100,4.5,4.5
2024-04-10,6:10 PM EDT,CHW,CLE,+135,-169,6.5,6.5
2024-04-10,6:40 PM EDT,CHC,SD,-120,-110,3.5,3.5
2024-04-10,6:40 PM EDT,MIL,CIN,+100,-130,4.5,4.5
2024-04-10,7:05 PM EDT,MIA,NYY,-115,-115,3.5,3.5
2024-04-10,7:10 PM EDT,BAL,BOS,+105,-135,5.5,5.5
2024-04-10,7:40 PM EDT,HOU,KC,-115,-115,5,5
2024-04-10,8:05 PM EDT,ATH,TEX,-115,-115,5,5
2024-04-11,12:20 PM EDT,NYM,ATL,-125,-105,8.5,8.5
2024-04-11,2:10 PM EDT,HOU,KC,-115,-115,10.5,10.5
2024-04-11,2:35 PM EDT,ATH,TEX,+145,-179,2.5,2.5
2024-04-11,6:40 PM EDT,PIT,PHI,+135,-169,1.5,1.5
2024-04-11,7:10 PM EDT,BAL,BOS,-161,+125,2.5,2.5
2024-04-12,6:40 PM EDT,MIN,DET,+100,-130,3.5,3.5
2024-04-12,6:40 PM EDT,PIT,PHI,+100,-130,4.5,4.5
2024-04-12,6:50 PM EDT,SF,TB,-130,+100,4.5,4.5
2024-04-12,7:05 PM EDT,MIL,BAL,-105,-125,4.5,4.5
2024-04-12,7:07 PM EDT,COL,TOR,+105,-135,4.5,4.5
2024-04-12,7:10 PM EDT,ATL,MIA,-125,-105,4.5,4.5
2024-04-12,7:10 PM EDT,KC,NYM,-115,-115,4.5,4.5
2024-04-12,7:10 PM EDT,LAA,BOS,-130,+100,4.5,4.5
2024-04-12,7:40 PM EDT,CIN,CHW,-115,-115,5,5
2024-04-12,8:10 PM EDT,TEX,HOU,-120,-110,5,5
2024-04-12,9:40 PM EDT,WAS,ATH,-105,-125,4.5,4.5
2024-04-12,9:40 PM EDT,CHC,SEA,+100,-130,4.5,4.5
2024-04-12,9:40 PM EDT,STL,AZ,-125,-105,5,5
2024-04-12,10:10 PM EDT,SD,LAD,-115,-115,4.5,4.5
2024-04-14,1:35 PM EDT,LAA,BOS,+100,-130,5.5,5.5
2024-04-14,1:35 PM EDT,MIL,BAL,-125,-105,4.5,4.5
2024-04-14,1:35 PM EDT,PIT,PHI,+100,-130,4.5,4.5
